#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
21,Pete Crow-Armstrong,CHC,99,387,426,95,57,19,4,16,59,54,25,1,104,6,3,5,23,5,0.247
22,Zach Neto,LAA,100,382,431,94,55,20,1,17,58,50,34,2,110,11,2,2,18,6,0.246
23,Vladimir Guerrero Jr.,TOR,102,382,440,113,74,21,0,17,62,61,51,6,59,4,3,0,3,1,0.295
24,Shea Langeliers,ATH,90,327,360,86,47,17,1,21,50,54,28,1,80,3,3,1,3,1,0.263
25,Jackson Merrill,SDP,100,393,430,104,64,22,2,15,56,57,30,1,87,3,3,2,7,2,0.264
26,Mike Trout,LAA,91,327,395,79,44,14,1,20,56,52,60,6,112,5,3,0,4,1,0.242
27,Cal Raleigh,SEA,80,276,320,63,31,11,0,20,43,51,39,4,87,3,2,0,4,1,0.227
28,Brice Turang,MIL,101,386,438,101,69,18,2,12,58,49,46,1,91,2,3,2,20,4,0.261
29,Bryce Harper,PHI,102,378,440,104,60,23,1,19,61,62,55,5,90,3,3,0,7,2,0.274
30,Francisco Lindor,NYM,76,291,330,75,47,14,1,13,48,40,31,1,60,5,2,0,12,3,0.258
31,Nico Hoerner,CHC,102,399,440,112,84,20,2,6,55,43,30,1,40,7,3,1,19,4,0.282
32,Dansby Swanson,CHC,102,393,440,95,61,17,2,16,57,55,41,1,107,2,3,1,10,2,0.243
33,Jeremy Peña,HOU,94,369,404,100,69,19,1,11,52,43,25,1,71,7,3,2,11,3,0.271
34,Byron Buxton,MIN,85,330,367,83,43,17,2,20,56,52,29,2,98,6,3,1,10,1,0.252
35,Corey Seager,TEX,72,270,311,72,43,14,0,15,42,44,36,5,61,3,2,0,2,0,0.266
36,Alex Bregman,CHC,101,381,436,97,63,19,1,14,54,53,46,2,60,5,3,0,2,1,0.254
37,JJ Wetherholt,STL,96,363,415,92,61,18,1,12,54,44,41,1,74,8,3,1,10,2,0.253
38,Jazz Chisholm Jr.,NYY,91,348,394,83,50,13,1,18,54,51,39,1,104,3,3,1,22,5,0.237
39,Maikel Garcia,KCR,101,391,435,105,72,22,2,8,57,44,38,0,65,1,3,2,17,5,0.269
40,Matt Olson,ATL,103,383,445,97,54,21,1,21,62,66,55,3,105,3,3,0,1,0,0.254
41,Xander Bogaerts,SDP,94,365,407,97,69,17,1,10,48,44,35,1,69,3,3,1,11,3,0.266
42,Matt Chapman,SFG,99,370,426,89,53,19,2,14,55,49,49,1,102,5,3,0,6,2,0.239
43,Isaac Paredes,HOU,96,355,413,85,53,16,1,16,51,52,47,0,70,9,3,0,1,0,0.24
44,Nick Kurtz,ATH,96,366,417,96,50,19,1,26,67,67,46,4,128,2,2,0,3,1,0.261
45,Will Smith,LAD,70,238,277,62,39,12,1,11,38,38,32,1,54,4,2,0,1,1,0.262
46,CJ Abrams,WSN,98,379,422,96,60,20,2,13,56,49,30,2,80,9,3,1,20,5,0.253
47,James Wood,WSN,100,370,431,96,56,21,1,19,61,58,56,5,128,3,2,1,11,4,0.26
48,Konnor Griffin,PIT,92,360,399,94,65,17,2,10,52,46,26,1,98,8,3,2,18,5,0.262
49,Ben Rice,NYY,92,343,395,88,48,17,1,21,59,58,43,1,85,5,3,0,3,1,0.257
50,Oneil Cruz,PIT,90,345,390,84,48,16,2,17,54,51,40,3,118,3,2,0,22,4,0.243
51,Bo Bichette,NYM,104,414,449,116,82,22,1,12,55,54,29,1,75,2,3,1,4,1,0.281
