#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
306,Keibert Ruiz,WSN,47,172,187,44,30,10,0,4,19,21,10,0,22,2,2,1,2,1,0.258
307,Kody Clemens,MIN,57,223,245,51,30,10,2,10,30,30,17,0,60,2,2,1,4,1,0.23
308,Ben Williamson,TBR,53,208,231,50,36,11,1,3,25,20,17,0,50,2,2,1,5,1,0.243
309,Denzel Clarke,ATH,19,74,82,17,11,4,1,2,11,9,6,0,26,1,1,1,3,1,0.237
310,Brady House,WSN,42,169,181,41,27,8,0,6,18,20,9,0,50,2,1,1,1,0,0.243
311,Josh Bell,MIN,91,349,395,84,55,15,0,13,45,46,38,1,79,3,3,1,1,1,0.241
312,Max Muncy,ATH,43,170,188,40,25,9,1,5,21,22,12,0,55,3,1,1,3,1,0.238
313,Nathaniel Lowe,CIN,56,210,240,52,34,9,1,8,29,27,27,1,59,1,2,1,1,0,0.246
314,Nick Loftin,KCR,27,101,115,25,17,5,0,2,13,11,10,0,17,2,1,1,2,1,0.247
315,Gary Sánchez,MIL,29,105,120,23,14,4,0,5,14,15,12,0,31,2,1,0,0,0,0.22
316,Will Benson,CIN,46,173,199,38,22,7,1,7,25,23,22,0,60,2,1,1,5,2,0.222
317,Endy Rodríguez,PIT,26,93,104,22,15,5,0,2,12,11,9,0,22,1,1,1,0,0,0.238
318,Darell Hernaiz,ATH,36,142,156,36,26,7,0,2,16,14,11,0,25,1,1,1,3,1,0.254
319,Abimelec Ortiz,WSN,37,143,159,34,20,6,1,7,18,19,12,0,40,2,1,1,0,0,0.236
320,J.C. Escarra,NYY,23,81,92,18,12,4,0,2,10,9,8,0,18,1,1,1,1,0,0.219
321,Drew Gilbert,SFG,45,172,192,40,26,8,1,4,21,19,15,0,39,3,1,1,2,1,0.231
322,Brice Matthews,HOU,29,111,126,24,15,4,1,4,15,14,11,0,40,2,1,1,6,2,0.218
323,Tyler Heineman,TOR,24,85,95,19,14,3,0,1,10,8,8,0,20,2,1,1,1,0,0.219
324,Lenyn Sosa,TOR,27,111,118,28,19,5,0,4,12,14,5,0,24,1,1,1,1,0,0.255
325,Connor Wong,BOS,42,149,165,36,24,8,0,4,17,17,11,0,41,2,1,1,3,1,0.242
326,José Fermín,STL,28,106,121,25,18,5,0,2,13,11,12,0,17,2,1,1,4,1,0.24
327,Noelvi Marte,CIN,40,156,171,40,26,8,0,5,19,20,11,0,38,1,1,1,5,2,0.253
328,Starling Marte,KCR,38,149,165,40,29,7,1,4,20,18,10,0,33,3,1,1,6,1,0.27
329,Austin Hedges,CLE,31,111,123,21,16,4,0,1,10,9,9,0,30,1,1,1,2,0,0.191
330,Christian Vázquez,HOU,48,172,189,39,29,7,0,3,17,16,13,0,36,1,1,1,2,1,0.224
331,Austin Hays,CHW,47,184,202,45,29,9,1,6,23,24,13,0,48,2,1,1,2,1,0.246
332,Jose Trevino,CIN,35,127,139,30,21,6,0,3,13,13,9,0,23,1,1,1,1,0,0.236
333,Javier Sanoja,MIA,48,194,209,50,35,11,1,3,24,19,12,0,25,0,2,1,5,3,0.256
