#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
322,Brandon Eisert,CHW,2,3,4.25,35,2,,,,36,157,35,19,17,4,13,,2,37,0.236
323,José Urquidy,PIT,2,3,4.45,10,7,,,,38,165,41,21,19,5,11,,1,27,0.164
324,Antonio Senzatela,COL,3,6,5.32,17,9,,,,62,280,76,40,36,9,22,,3,39,0.139
325,Dennis Santana,PIT,3,3,3.78,41,0,,,,40,170,35,18,17,4,15,,2,36,0.212
326,Kolby Allard,CLE,1,2,4.22,17,5,,,,45,197,47,23,21,7,14,,1,36,0.183
327,Hunter Dobbins,STL,2,2,4.69,9,8,,,,43,189,45,24,23,6,15,,2,31,0.164
328,Jake Bird,NYY,2,2,4.09,37,0,,,,42,179,36,21,19,4,17,,5,47,0.263
329,Brycen Mautz,STL,3,4,4.7,13,12,,,,55,241,56,31,29,7,21,,4,45,0.187
330,Hogan Harris,ATH,2,2,4.2,32,5,,,,56,247,50,28,26,6,31,,3,57,0.231
331,Brenan Hanifee,DET,2,1,4.01,29,3,,,,38,163,40,18,17,4,10,,1,27,0.166
332,Lazaro Estrada,TOR,2,3,4.81,12,8,,,,45,194,46,26,24,7,14,,2,38,0.196
333,Angel Zerpa,MIL,2,2,4.01,34,3,,,,40,171,38,20,18,4,13,,2,36,0.211
334,Tyler Rogers,TOR,3,2,3.56,44,0,,,,42,175,41,18,17,3,11,,1,28,0.16
335,Evan Sisk,PIT,1,1,3.72,34,0,,,,35,152,31,16,15,3,16,,3,37,0.243
336,Cole Sands,MIN,3,3,4.11,33,2,,,,38,161,35,19,17,5,12,,2,37,0.23
337,Charlie Barnes,LAD,2,4,5.67,10,9,,,,53,236,61,36,33,10,18,,3,43,0.182
338,John Klein,MIN,3,4,4.89,14,7,,,,48,210,49,28,26,7,18,,5,40,0.19
339,Joel Kuhnel,ATH,2,2,4.14,31,1,,,,35,150,38,18,16,4,8,,2,24,0.16
