Date,Home,Away,Home_Runs_In1,Home_OB_In1,Home_SO_In1,Home_Runs_In2,Home_OB_In2,Home_SO_In2,Home_Runs_In3,Home_OB_In3,Home_SO_In3,Home_Runs_In4,Home_OB_In4,Home_SO_In4,Home_Runs_In5,Home_OB_In5,Home_SO_In5,Home_Runs_In6,Home_OB_In6,Home_SO_In6,Home_Runs_In7,Home_OB_In7,Home_SO_In7,Home_Runs_In8,Home_OB_In8,Home_SO_In8,Home_Runs_In9,Home_OB_In9,Home_SO_In9,Away_Runs_In1,Away_OB_In1,Away_SO_In1,Away_Runs_In2,Away_OB_In2,Away_SO_In2,Away_Runs_In3,Away_OB_In3,Away_SO_In3,Away_Runs_In4,Away_OB_In4,Away_SO_In4,Away_Runs_In5,Away_OB_In5,Away_SO_In5,Away_Runs_In6,Away_OB_In6,Away_SO_In6,Away_Runs_In7,Away_OB_In7,Away_SO_In7,Away_Runs_In8,Away_OB_In8,Away_SO_In8,Away_Runs_In9,Away_OB_In9,Away_SO_In9,Home_Runs_Total,Away_Runs_Total,Runs_Total,Total_After_5,Over_45,Over_85,Over_Then_Under,Under_Then_Over
8/22/25,BAL,HOU,0,3,2,0,2,2,0,1,0,3,4,0,0,0,0,2,3,1,1,2,2,1,4,1,0,1,3,0,0,0,0,0,3,4,3,1,0,1,1,3,4,1,0,1,0,0,0,1,3,4,1,0,1,1,7,10,17,10,1,1,0,0
8/22/25,ATL,NYM,0,1,2,0,0,0,1,2,1,1,1,0,0,0,1,0,0,2,0,1,1,2,3,1,3,4,0,0,1,1,2,5,1,2,3,1,3,6,0,0,2,0,0,2,0,2,2,1,3,4,1,0,0,0,7,12,19,9,1,1,0,0
8/22/25,MIA,TOR,0,1,2,1,1,1,0,0,0,0,0,3,0,0,1,0,1,2,0,2,0,1,1,2,0,1,0,3,4,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,2,1,0,1,0,0,1,1,2,5,7,4,0,0,0,0
8/22/25,NYY,BOS,0,1,2,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,2,0,3,1,0,1,1,0,2,1,0,0,1,1,2,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0
8/22/25,PHI,WSH,0,3,0,1,3,1,0,0,1,0,1,1,0,1,0,2,2,1,1,1,3,0,0,2,0,0,1,3,4,1,0,1,1,0,0,1,0,0,0,0,1,2,0,2,0,0,1,0,0,1,1,2,2,3,4,5,9,4,0,1,0,1
8/22/25,DET,KC,0,0,2,0,0,1,1,1,1,0,1,0,0,1,1,2,4,0,4,6,1,0,1,1,0,0,0,0,3,0,0,0,0,3,5,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,2,2,1,7,5,12,4,0,1,0,1
8/23/25,SD,LAD,0,0,1,0,0,1,0,2,1,3,4,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,2,0,0,1,5,1,6,3,0,0,0,0
8/23/25,LAA,CHC,0,0,1,0,0,0,0,1,1,0,0,1,0,2,1,0,1,3,1,1,2,0,1,1,0,0,0,0,0,1,0,1,1,2,2,2,4,4,0,0,1,1,4,5,0,2,3,1,0,0,0,0,2,0,1,12,13,6,1,1,0,0
8/23/25,CWS,MIN,0,2,0,6,6,2,0,1,0,0,1,1,0,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,2,0,1,1,1,0,0,2,1,2,1,0,2,2,0,1,0,1,1,0,0,0,0,0,1,2,7,3,10,8,1,1,0,0
8/23/25,SEA,ATH,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,1,2,0,0,1,0,0,1,1,0,0,2,0,1,0,0,0,2,1,1,2,1,0,0,0,0
8/23/25,MIL,SF,0,1,2,1,3,1,0,1,0,0,2,1,0,0,0,0,2,1,0,1,0,0,1,1,0,0,1,0,1,1,0,2,2,0,1,2,0,1,1,0,1,0,3,3,1,4,5,0,0,0,1,0,2,2,1,7,8,1,0,0,0,0
