#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
224,Josh Hader,HOU,1,1,3.47,36,0,18,2,,25.1,105,18,11,10,4,10,0,1,34
225,Jake Bennett,BOS,2,2,4.27,12,4,0,0,,27,115,27,14,13,3,9,0,1,20
226,Brycen Mautz,STL,2,3,4.73,24,5,0,0,,45,196,45,25,24,6,18,1,2,38
227,Jeff Hoffman,TOR,2,1,4,41,0,5,8,,28.2,121,23,14,13,4,12,1,2,37
228,Shawn Armstrong,CLE,1,1,4.02,40,0,1,10,,28.2,120,26,14,13,3,9,0,2,30
229,Tanner Scott,LAD,2,1,3.66,42,0,11,7,,27.1,116,23,12,11,3,12,1,1,31
230,Mason Montgomery,PIT,2,1,4.05,43,0,2,8,,30.2,132,27,15,14,3,13,1,1,35
231,Patrick Sandoval,BOS,2,1,4.14,19,3,0,0,,30.1,133,28,15,14,3,15,1,1,27
232,Jacob Lopez,ATH,4,6,5.3,24,13,0,0,,71.2,317,71,45,42,13,32,0,4,62
233,David Festa,MIN,1,1,4.29,17,2,0,0,,23.2,101,21,12,11,3,9,0,1,25
234,Kevin Ginkel,ARI,1,1,4.01,41,0,1,9,,29,124,27,14,13,3,10,1,1,28
235,Jack Dreyer,LAD,1,1,3.5,33,0,0,5,,21.2,89,17,9,8,2,8,1,1,22
236,Andrew Morris,MIN,1,1,4.17,39,0,2,8,,26.2,114,26,13,12,3,8,1,1,22
237,Kevin Kelly,TBR,2,1,3.92,41,0,1,9,,31,130,30,15,14,3,8,1,2,24
238,Will Vest,DET,2,1,3.93,40,0,1,7,,28.2,122,27,14,13,3,10,1,1,28
239,Jack Perkins,ATH,1,1,3.84,35,0,1,6,,25,107,21,11,11,2,11,1,2,27
240,Jake Irvin,WSN,3,5,4.96,18,10,0,0,,54,234,55,32,30,9,18,0,2,43
241,Carson Whisenhunt,SFG,2,2,4.84,12,5,0,0,,29.2,130,31,17,16,4,11,0,1,23
242,Keider Montero,DET,3,4,5.14,18,10,0,0,,54.2,238,57,33,31,9,19,0,3,41
243,Sam Hentges,SFG,1,1,4.14,37,0,0,7,,25,107,24,12,11,2,9,0,1,23
244,A.J. Puk,ARI,1,1,3.96,32,0,4,2,,23,97,20,11,10,3,8,1,1,24
